year,code,head,page,dept,dept_name,raw_line
2020-21-EN,64729,HOT MIX PLANT (capex),271,381,"ROADS,STREETS, PAVEMENTS",0.00 0.00 100.00 64729 HOT MIX PLANT 200.00 200.00 200.00 1000.00
2020-21-EN,DEPT381,DEPT TOTAL,271,381,"ROADS,STREETS, PAVEMENTS 14185.48 14726.57 14726.57 9146.28 ","381 ROADS,STREETS, PAVEMENTS 14185.48 14726.57 14726.57 9146.28 9432.01 18700.00 11632.77"
2020-21-EN,64402,OTHER BRIDGES (capex),271,382,BRIDGES,1918.84 5726.39 1000.00 64402 OTHER BRIDGES 7500.00 11000.00 11000.00 19200.00
2020-21-EN,DEPT382,DEPT TOTAL,271,382,BRIDGES 8000.00 11500.00 11500.00 1918.84 5726.39 20200.00 1,382 BRIDGES 8000.00 11500.00 11500.00 1918.84 5726.39 20200.00 1250.00
2020-21-EN,64401,ROADS AND STREETS RESURFACING (capex),275,962,ZONAL CAPITAL WORKS,2366.23 4573.23 6093.19 64401 ROADS AND STREETS RESURFA CING 9191.24 9191.24 9191.24 8258.87
2020-21-EN,64406,ROADS AND STREETS - GENERAL (capex),275,962,ZONAL CAPITAL WORKS,564.52 1015.04 1985.46 64406 ROADS AND STREETS- GENERAL 2747.04 2747.04 2747.04 2350.68
2020-21-EN,64407,FOOTPATH AND PAVEMENTS (capex),275,962,ZONAL CAPITAL WORKS,1476.61 1996.26 2737.56 64407 FOOTPATH AND PAVEMENTS 3334.52 3334.52 3334.52 3308.78
2020-21-EN,64453,R.C.C. ROAD (capex),275,962,ZONAL CAPITAL WORKS,0.00 0.00 31.10 64453 R.C.C. ROAD 0.00 0.00 0.00 0.00
2020-21-EN,DEPT962,DEPT TOTAL,275,962,ZONAL CAPITAL WORKS 50000.00 50000.00 50000.00 12833.87 1921,962 ZONAL CAPITAL WORKS 50000.00 50000.00 50000.00 12833.87 19217.63 45000.00 20812.50
2020-21-EN,DEPT967,DEPT TOTAL,276,967,JNNURM PROJECT 821.12 821.12 821.12 2642.50 1227.00 1000.00 ,967 JNNURM PROJECT 821.12 821.12 821.12 2642.50 1227.00 1000.00 1186.17
