source_record_id,source_file,source_url,library_id,name,normalized_name,location_type,zone,address,latitude,longitude,coordinate_source,map_url,geocode_status,confidence,notes
dpl_location_0058,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_023_0058,Mobile Service Point 023,mobile service point 023,mobile_service_point,mobile,"Sai Chowk RWA, Pocket E Near Canara bank,Mayur Vihar, Phase-2 Delhi-110091",,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
dpl_location_0059,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_024_0059,Mobile Service Point 024,mobile service point 024,mobile_service_point,mobile,"Glaxo Apartment Main Gate, Mayur Vihar Phase-I, Delhi-91",,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
dpl_location_0060,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_025_0060,Mobile Service Point 025,mobile service point 025,mobile_service_point,mobile,"Near Tikona Park, Main Market , opp. House No. 9/37 and 15/27, Subhash Nagar, New Delhi",,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
dpl_location_0061,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_026_0061,Mobile Service Point 026,mobile service point 026,mobile_service_point,mobile,"Near Deendayal Hospital and Swargasram MIG flats, Mayapuri, New Delhi",,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
dpl_location_0062,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_027_0062,Mobile Service Point 027,mobile service point 027,mobile_service_point,mobile,"South Delhi Municipal Corporation office, E-24 Greater Kailash, New Delhi-110048",,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
dpl_location_0063,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_028_0063,Mobile Service Point 028,mobile service point 028,mobile_service_point,mobile,"A- Block Quarter Pandara Road, New Delhi",,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
dpl_location_0064,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_029_0064,Mobile Service Point 029,mobile service point 029,mobile_service_point,mobile,"Snatan Dharam Mandir, Ambika Vihar, Near Paschim Vihar, New Delhi",,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
dpl_location_0065,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_030_0065,Mobile Service Point 030,mobile service point 030,mobile_service_point,mobile,"Near Telephone Exchange, Sunder Vihar, New Delhi",,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
dpl_location_0066,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_031_0066,Mobile Service Point 031,mobile service point 031,mobile_service_point,mobile,"Near Palam Vihar Village, Dwarka, Palam Vihar, New Delhi.",,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
dpl_location_0067,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_032_0067,Mobile Service Point 032,mobile service point 032,mobile_service_point,mobile,"Near Guru Ram Dass Public Middle School and Gurudwara, Tagore Garden, New Delhi-27",,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
dpl_location_0068,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_033_0068,Mobile Service Point 033,mobile service point 033,mobile_service_point,mobile,"F Block, Near Park, Prashant Vihar, New Delhi",,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
dpl_location_0069,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_034_0069,Mobile Service Point 034,mobile service point 034,mobile_service_point,mobile,"Near Railway Colony Gate, Shakur Basti, Delhi",,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
dpl_location_0070,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_035_0070,Mobile Service Point 035,mobile service point 035,mobile_service_point,mobile,"Near Friendly Welfare Association office Flat No. A3/195, Paschim Vihar, New Delhi-110063",,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
